,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng,reviewer_region
24704,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,9/15/2016,8.0,Doubletree by Hilton London Kensington,United States of America,Our room was quite small Trying to separate the two twin beds was difficult because of the lack of space and the night stands that were fixed to the wall,32,2367,Very good location within a ten minute walk of South Kensington tube station Friendly and helpful staff,19,1,8.8,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 7 nights ']",322 day,51.4925138,-0.17879170000000003,North America
24709,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/28/2016,8.0,Doubletree by Hilton London Kensington,Australia,Only doonas on bed No sheet under doona and no blanket in cupboard It is always good to be able to have a choice of bedding preferences available without having to wait for staff to bring it if available No shower cap provided,45,2367,Great location Comfy beds,6,5,7.9,"[' Leisure trip ', ' Couple ', ' Queen Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",340 day,51.4925138,-0.17879170000000003,Oceania
24710,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/26/2016,8.0,Doubletree by Hilton London Kensington,Australia,Front desk staff Our dry cleaning was not picked up when requested Both my brothers room and mine were charged for his and my dry cleaning Had great difficulty getting this sorted out Rang the foom at 10 00pm to renegotiate the cost of the room Will never stay there again,53,2367,Location and cleanliness,5,13,6.7,"[' Leisure trip ', ' Group ', ' Queen Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",342 day,51.4925138,-0.17879170000000003,Oceania
24713,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/21/2016,8.0,Doubletree by Hilton London Kensington,Australia,No fridge as per most UK hotels Maybe hotels need to consider getting rid of the bath Hard to climb over the side of the high bath and dangerously slippery at times thats common in most UK hotels also,41,2367,Staff very friendly and efficient Room a bit small side but very comfy Could walk around the beds ok 2 suitcases hard to Place Shower fine Breakfast excellent Hot choices and pleasant dining area Excellent wifi and tv reception Location perfect Late check out 1200hrs and given an extra hour also that was lovely Also able to check in earier than advertised time much appreciated clean rooms,69,23,10.0,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",347 day,51.4925138,-0.17879170000000003,Oceania
24720,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/11/2016,8.0,Doubletree by Hilton London Kensington,United States of America,Our air conditioner was broken and the room was very hot The staff seemed somewhat indifferent They did offer a fan and suggested we open the window Sadly the street noise was unbearable so we closed the window and sweated it out for two nights as the hotel was booked full The third night they did move us to a cooled room which was wonderful We were grateful for that In the second room everything was clean and well kept All the glassware in the first room had obviously been used By prior guests as there were lip marks and fingers prints on them We had expected the second night we would have received clean glasses but we got the same ones over again For a hotel which could be top notch with such little effort this was disappointing I wish I could give top marks and really want to say I loved this place but it fell short They are so close to having a really great hotel so I hope they will address some of these issues,181,2367,The beds were comfy and the public areas were all very nice The breakfast and the dining room staff were wonderful The location could not have been better just blocks from South Kensington tube and Kensington palace Museums very close walking distance We enjoyed the neighborhood very much,50,5,6.7,"[' Leisure trip ', ' Family with older children ', ' Queen Deluxe Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",357 day,51.4925138,-0.17879170000000003,North America
24725,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/3/2016,8.0,Doubletree by Hilton London Kensington,Australia,No Negative,0,2367,The hotel facilities and location was excellent Very handy to the tube and tourist attractions Kensington is such a pretty place great shopping and restaurants,27,25,7.9,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",365 day,51.4925138,-0.17879170000000003,Oceania
24726,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/31/2016,8.0,Doubletree by Hilton London Kensington,United States of America,We stayed for 7 nights and the food was exactly the same every morning Some variety on the breakfast buffet would help Also our daughter s roll out bed was not comfortable,33,2367,Fantastic location Very friendly staff,6,1,7.9,"[' Leisure trip ', ' Family with older children ', ' Queen Deluxe Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",368 day,51.4925138,-0.17879170000000003,North America
24727,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/31/2016,8.0,Doubletree by Hilton London Kensington,United States of America,In a two week trip through 3 countries this was the only bad hotel accommodation and it was the worst I have ever experienced at this level hotel in US or abroad The rooms were awful The bed and pillows were hard as rocks It was so hot in all 3 rooms we tried A C broke in first room Moved from a suite to a twin after begging for a room with A C Originally told they didn t have another room They were going to force us to stay in the broken a c room and rent the one we ended up in probably We were lied to repeatedly Hot in the new room as well and 3 of us on 2 twins pushes together At 3 am I had to go to desk and ask for fans Next time we had a Room with a loft for the bathroom and double bed The loft was so hot It was on the top floor Heat rises There was a small box a c that ran continuously but never cooled off the room There was a crying baby in the next room that sounded like it was in the room with us The traffic outside was so loud in the room as well That happened in 2 of the 3 rooms There were 2 green lights on the ceiling of the loft I think to light up the stairs that stayed on permanently and it was like daylight in the bedroom It had a skylight with no cover so at the crack of dawn more light streamed in After repeated attempts with management we had prepaid in full so they didn t care we literally left in the middle of the night and went to a much more expensive but lovely cool quiet beautiful hotel to get one good night s sleep in London It was the best move we made and we should have left after the first incident This is our 4th trip to London always in the heat of summer and the only bad experience we have ever had with our hotel accommodations I have never had to complain to management about a hotel room before in London after over 20 nights worth of accommodations Management was barely apologetic,385,2367,Location was fantastic close to a tube station museums Hyde Park and lots of great restaurants,18,5,4.2,"[' Leisure trip ', ' Family with older children ', ' King Duplex Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",368 day,51.4925138,-0.17879170000000003,North America
24729,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/28/2016,8.0,Doubletree by Hilton London Kensington,United States of America,Air conditioning did not work in the room and was very hot Staff could not help but offered a fan The breakfast was the same food every day and hardly eatable,33,2367,The beds are comfortable but smaller then American standards The rooms are puny Location is what defines thins place,21,1,6.7,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",371 day,51.4925138,-0.17879170000000003,North America
24731,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/24/2016,8.0,Doubletree by Hilton London Kensington,Australia,The bed mattresses were a little too soft and not very supportive Small rooms,16,2367,Great wi fi Great service Clean rooms Lovely modern clean bathrooms Close to wonderful restaurants parks underground Lovely local community,22,1,8.3,"[' Leisure trip ', ' Family with older children ', ' Twin Guest Room ', ' Stayed 5 nights ']",375 day,51.4925138,-0.17879170000000003,Oceania
24733,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/21/2016,8.0,Doubletree by Hilton London Kensington,United States of America,A C broke in middle of night It s rarely hot in London but this summer has been an exception It s unbearable Asked for A C to be fixed while we were out for the day Came back about 12 hours later ready for bed and a c still broken No one ever came Took 2 hours to get moved from a 2 bedroom suite to a single room with 3 of us in a new room Ridiculous Spent time on phone with manager Had to go to front desk to get action and that still took an hour Moved to a small cramped room that heated up about 2 am Had to go get fans from front desk then Absolutely no sleep with a small hot rooms and 3 people on 2 twin beds pushed together Barely apologetic the next morning Noted they are renovating and have had trouble with a c so they knew about it but only wanted to give a small discount off the down graded hot room we were moved to Poor customer service I warned them I would be posting a bad review for their service and asked for it to all be corrected They didn t seem to care so the best response I know is to follow through Would not stay here again if I had an option,229,2367,I love staying in Kensington as it is out of the way of the busy part of London but close by tube to the heart of the city There are better hotels to stay in than this one,40,5,5.8,"[' Leisure trip ', ' Family with older children ', ' King One Bedroom Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",378 day,51.4925138,-0.17879170000000003,North America
24736,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/20/2016,8.0,Doubletree by Hilton London Kensington,Canada,I have stayed at many Hilton hotels and found that the room was very small for the price I paid There was hardly any room to move around in the bathroom and I am not a big person,40,2367,No Positive,0,1,7.9,"[' Leisure trip ', ' Family with older children ', ' Twin Guest Room ', ' Stayed 1 night ']",379 day,51.4925138,-0.17879170000000003,North America
24738,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/19/2016,8.0,Doubletree by Hilton London Kensington,United States of America,I am 90 yrs old and there was an uneven floor with a 4 inch rise where I could easily have fallen and broken my neck The room was ready 46 minute after it was promised Instead of a room the receptionist offered me a cookie hardly what I wanted,52,2367,Convenient location for my purposes,7,2,6.3,"[' Leisure trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",380 day,51.4925138,-0.17879170000000003,North America
24752,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/2/2016,8.0,Doubletree by Hilton London Kensington,Australia,Rooms were very cramped with a huge carpeted step not clearly marked which was a big trip hazard You had to ask to get adequate soap and towels Staff struggled to speak English There was no fridge at all in room I have never seen this before in a 4 star hotel especially a Hilton I requested an iron twice and it never arrived although I was told it would come straight away both times In all a very disappointing experience Then to top it off when we checked out we were charged twice We realised immediately and were told this was normal as they process the credit card on registration so you pay up front although were were clearly told pre authorisation is NEVER PROCESSED but then on discharge you pay bill completed with extras They do not reverse original charge for up to to a week later Their attitude and handling of our complaint on this was very much that they don t care In all this was my a good experience I would never recommend this hotel and will not stay at Hilton again,189,2367,Room was clean As it should be That s the only positive I can find,17,1,5.4,"[' Leisure trip ', ' Couple ', ' Queen Superior Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",397 day,51.4925138,-0.17879170000000003,Oceania
24768,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,6/9/2016,8.0,Doubletree by Hilton London Kensington,United States of America,No Negative,0,2367,It was very nice Great location The concierge helped arrange airport transport to and from hotel The concierge also helped arrang a day tour for us Very helpful and friendly,32,1,7.9,"[' Leisure trip ', ' Couple ', ' Club Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",420 day,51.4925138,-0.17879170000000003,North America
24790,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,4/28/2016,8.0,Doubletree by Hilton London Kensington,United States of America,I really can t think of anything,9,2367,For being my first time in London they made my stay very comfortable They were very friendly and courteous and the service was great,26,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",462 day,51.4925138,-0.17879170000000003,North America
24796,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,4/17/2016,8.0,Doubletree by Hilton London Kensington,United States of America,The reception desk staff seemed ill informed and was unable to convey their lack of information or knowledge,20,2367,The concierge was extra helpful and friendly,9,1,9.2,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 2 nights ']",473 day,51.4925138,-0.17879170000000003,North America
24798,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,4/14/2016,8.0,Doubletree by Hilton London Kensington,Australia,No Negative,0,2367,All about the location here South Kensington is a beautiful suburb in a prime location for sightseeing walking distance to major attractions or just a quick tube ride away on the Piccadilly and district lines,36,1,8.8,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",476 day,51.4925138,-0.17879170000000003,Oceania
24800,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,4/13/2016,8.0,Doubletree by Hilton London Kensington,United States of America,The room was a little smaller than the internet photographs made it look but it was still very comfortable we had a queen size bed and it was probably one of the most comfortable beds I ve slept in in a hotel If you would have had an american outlet in the room it would have been a really nice addition That said Thomas searched and found an adaptor for me to use,75,2367,Thomas concierge was incredibly helpful and always there when we needed help or guidance He was just amazing Also the food was excellent and wonderful service from everyone and the room was very clean and fresh It was a joy,42,2,9.2,"[' Group ', ' Queen Guest Room ', ' Stayed 3 nights ']",477 day,51.4925138,-0.17879170000000003,North America
24805,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,4/2/2016,8.0,Doubletree by Hilton London Kensington,Australia,Bathroom did not have a shaver power socket and water pressure in the shower was weak and temperature too hot Rooms were stuffy hot and windows did not work,31,2367,Great location and proximity to tube stations pubs and restaurants,12,4,7.5,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",488 day,51.4925138,-0.17879170000000003,Oceania
24817,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,3/16/2016,8.0,Doubletree by Hilton London Kensington,United States of America,I had some issues with the cold water in the bathroom The shower was fine but the sink tap did not have any cold water,27,2367,The bed was incredibly comfortable I appreciated how clean the room always was when I got back and really loved the location The cookie at check in was also a great perk,34,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 6 nights ']",505 day,51.4925138,-0.17879170000000003,North America
24833,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,2/6/2016,8.0,Doubletree by Hilton London Kensington,United States of America,No Negative,0,2367,Excellent free continental breakfast courteous and professional staff This hotel used to be called the Regency and we have stayed there many times The new owners are just as good or better,34,18,10.0,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 14 nights ']",544 day,51.4925138,-0.17879170000000003,North America
24838,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,1/27/2016,8.0,Doubletree by Hilton London Kensington,United States of America,It is a maze to find your room very strange and easy to get lost in the building The rooms are tiny like in HK Low water pressure in shower No fridge in room,36,2367,The bed was so comfortable and although the building is old it has been remodeled so that everything feels new There a fireplace in lobby very welcoming Breakfast was great with many options on buffet Good restaurants walking distance GBK and convenient stores bakeries etc,47,19,9.2,"[' Business trip ', ' Couple ', ' Club Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",554 day,51.4925138,-0.17879170000000003,North America
24848,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,1/13/2016,8.0,Doubletree by Hilton London Kensington,Australia,Standard rooms are too small for 2 adults with 2 suitcases with no space to store anything so we had to upgrade to a larger room No minibar no hair body care products Staff was quite short and not very friendly except the doorman NO GLUTEN FREE PRODUCTS for breakfast,51,2367,Great comfy beds Can open the windows tea coffee making possibility,12,3,6.3,"[' Leisure trip ', ' Couple ', ' Club Twin Room ', ' Stayed 4 nights ']",568 day,51.4925138,-0.17879170000000003,Oceania
24857,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,1/3/2016,8.0,Doubletree by Hilton London Kensington,United States of America,The hotel was in transition to becoming a Doubletree We were not told at check in but we had to switch rooms during our stay due to construction staff was unhelpful with giving information and locating our luggage We had to store since we were taking tours during the day and needed to store our luggage because they couldn t get us another room until people checked out Wasn t informed at booking that the hotel was going to be under construction Not sure we would go back in the future since Hilton took over they will probably increase the room prices and the renovated room they switched us to was fine for our price but not an increase,121,2367,The area was easy to get around Great location next to the museums restaurants and metro tube stations On the day we left they did store our luggage while we did last minute touring and called a taxi for us since the holiday crowd was making it difficult to take metro with luggage to the airport,58,2,7.1,"[' Leisure trip ', ' Family with older children ', ' Club Double Room ', ' Stayed 5 nights ']",578 day,51.4925138,-0.17879170000000003,North America
24858,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,12/31/2015,8.0,Doubletree by Hilton London Kensington,United States of America,We would like to have a mini refrigerator in the room For family vacation we would like to have a room fits four for two adults and two children instead of having two rooms,36,2367,Location,2,1,7.9,"[' Leisure trip ', ' Family with young children ', ' Queensgate Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",581 day,51.4925138,-0.17879170000000003,North America
24859,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,12/29/2015,8.0,Doubletree by Hilton London Kensington,Australia,Housekeeping didn t clear rubbish and lack of toiletries,10,2367,Hotel changed to Double Tree whilst there so a bit of renovation going on but did not inconvenience us Housekeeping did not clear rubbish a couple of days and toiletries left a lot to be desired in the bathroom no cotton buds etc we had s great stay however as it s an excellent location Concierge were helpful in booking our Christmas Day tour We would stay here again,71,9,7.9,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 12 nights ', ' Submitted from a mobile device ']",583 day,51.4925138,-0.17879170000000003,Oceania
24867,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,12/21/2015,8.0,Doubletree by Hilton London Kensington,United States of America,I was given noticed of change of hotel 9 hours before check in Very unprofessional by both Hilton and booking com both will never get my business again,30,2367,Not much maybe the welcome fruit,8,14,3.8,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",591 day,51.4925138,-0.17879170000000003,North America
24879,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,12/7/2015,8.0,Doubletree by Hilton London Kensington,United States of America,No Negative,0,2367,Great location close to South Ken tube shops etc Nice having the restaurant they made espresso too Only a easy cab ride from Paddington so travelling in from Heathrow Express was very easy or you could use the tube too and then it would be a 5 minute walk,51,3,9.6,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",605 day,51.4925138,-0.17879170000000003,North America
24884,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,11/29/2015,8.0,Doubletree by Hilton London Kensington,United States of America,Hated that I had to continually contact the front desk to keep the wifi active,17,2367,had an upgraded room which was 2 floors Made it much nicer to stay with my kids,19,10,7.5,"[' Leisure trip ', ' Family with young children ', ' Duplex Suite ', ' Stayed 3 nights ']",613 day,51.4925138,-0.17879170000000003,North America
24895,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,11/17/2015,8.0,Doubletree by Hilton London Kensington,United States of America,1 The deposit is not needed at all One should also be able to choose of mode of payment especially if you are using different currencies and cards 2 Evertyhing looks just fine but you can even hear the flush of the next room and they are supposed to be a 4 star hotel soon I don t get that,62,2367,No Positive,0,22,7.1,"[' Business trip ', ' Group ', ' Club Twin Room ', ' Stayed 1 night ']",625 day,51.4925138,-0.17879170000000003,North America
24907,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,11/2/2015,8.0,Doubletree by Hilton London Kensington,United States of America,Room was very small and located in an interior wing Lighting in bathroom was very dim and I don t think you should have to pay 10 pounds a day for Wifi,34,2367,Location and comfort cleanliness of room,7,14,7.9,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",640 day,51.4925138,-0.17879170000000003,North America
24908,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,11/1/2015,8.0,Doubletree by Hilton London Kensington,United States of America,Charge for Internet and the service was bad to boot Also charge to use exercise facilities,18,2367,Very convenient location in great neighborhood Very safe Helpful staff Nice breakfast included,15,1,8.8,"[' Leisure trip ', ' Couple ', ' Club Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",641 day,51.4925138,-0.17879170000000003,North America
24910,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/31/2015,8.0,Doubletree by Hilton London Kensington,United States of America,The staff wasn t the friendliest I have encountered They were not very personable but more like robots One morning we had only hot or scalding water coming out of the tap as mentioned by another reviewer We also lost wifi for several hours and had a false fire alarm at 1 am which was frightening The room was extremely small club twin as was the bathroom It was quite overpriced for the size of the room,79,2367,The memory foam beds were quite comfortable and the rooms were clean The location is great for South Kensington with two major underground stations very close by and many restaurants and grocery stores all in very close proximity,40,5,7.5,"[' Leisure trip ', ' Family with young children ', ' Club Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",642 day,51.4925138,-0.17879170000000003,North America
24918,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/26/2015,8.0,Doubletree by Hilton London Kensington,United States of America,Room was bit small even though I was supposed to be a Felix premium room Bed was uncomfortable lumpy and sagging Did not expect that from a four star hotel Arthur,32,2367,Good location,4,3,8.3,"[' Leisure trip ', ' Couple ', ' Club Deluxe Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",647 day,51.4925138,-0.17879170000000003,North America
24923,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/25/2015,8.0,Doubletree by Hilton London Kensington,United States of America,although the bed was pretty comfortable I felt like I was sleeping in a trough I don t know if it was a memory foam mattress I know I did not care for it,36,2367,The location was great with plenty of restaurants near two tube stations and close by the V A Easy to get to from London Heathrow airport,28,2,9.6,"[' Leisure trip ', ' Family with older children ', ' Club Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",648 day,51.4925138,-0.17879170000000003,North America
24926,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/22/2015,8.0,Doubletree by Hilton London Kensington,United States of America,room was very small and lighting in the bathroom is poor We had an interior room with view of next wing of the hotel You have to pay ten pounds a day to access their WIFI,38,2367,Room was clean bed was very comfortable and location is very good,14,14,8.3,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ']",651 day,51.4925138,-0.17879170000000003,North America
